Name of movie,Price ( in $ ),Rating stars,Link to the movie
America Has Fallen,0,3.4 out of 5 stars,https://www.amazon.com/Hotel-Transylvania-Transformania-Andy-Samberg/dp/B09MZSXTLF/ref=sr_1_19?dib=eyJ2IjoiMSJ9.SvQzi1JnFLhTzHGMgLVWgE0HV9sYjoYXyEOKDiZMrrZa3S6nLHuIQZ_zVoYJzDo3Xb54hkLSQzResRSSpD85jxxxMMTcdrRIt1ZooxhHOBwQC-wg2NtAZTqR53d35O8L_7wTuSuULPj9WCEQ8GEBUM6IKGORtfHt8WJcU-pHK9WjqzAclS-txEeTKH52mrWx-YBY18TU2ibykOVFqQB6rqFOHegAb_s41D7PRnjciH4.qlyZnUVfbDDud7rYnSTjDfyH6dWTp_zwXXwc1pgDERk&dib_tag=se&qid=1726507667&s=movies-tv&sr=1-19
America is Sinking,0,4.7 out of 5 stars,https://www.amazon.com/LEGO-Movie-Second-Part/dp/B07QNTFDQ7/ref=sr_1_20?dib=eyJ2IjoiMSJ9.SvQzi1JnFLhTzHGMgLVWgE0HV9sYjoYXyEOKDiZMrrZa3S6nLHuIQZ_zVoYJzDo3Xb54hkLSQzResRSSpD85jxxxMMTcdrRIt1ZooxhHOBwQC-wg2NtAZTqR53d35O8L_7wTuSuULPj9WCEQ8GEBUM6IKGORtfHt8WJcU-pHK9WjqzAclS-txEeTKH52mrWx-YBY18TU2ibykOVFqQB6rqFOHegAb_s41D7PRnjciH4.qlyZnUVfbDDud7rYnSTjDfyH6dWTp_zwXXwc1pgDERk&dib_tag=se&qid=1726507667&s=movies-tv&sr=1-20
American Dreamer,19.99,4.5 out of 5 stars,https://www.amazon.com/Twisters-Lee-Isaac-Chung/dp/B0D6XT49DC/ref=sr_1_21?dib=eyJ2IjoiMSJ9.SvQzi1JnFLhTzHGMgLVWgE0HV9sYjoYXyEOKDiZMrrZa3S6nLHuIQZ_zVoYJzDo3Xb54hkLSQzResRSSpD85jxxxMMTcdrRIt1ZooxhHOBwQC-wg2NtAZTqR53d35O8L_7wTuSuULPj9WCEQ8GEBUM6IKGORtfHt8WJcU-pHK9WjqzAclS-txEeTKH52mrWx-YBY18TU2ibykOVFqQB6rqFOHegAb_s41D7PRnjciH4.qlyZnUVfbDDud7rYnSTjDfyH6dWTp_zwXXwc1pgDERk&dib_tag=se&qid=1726507667&s=movies-tv&sr=1-21
American Woman,4.19,4.5 out of 5 stars,https://www.amazon.com/Transformers-Rise-Beasts-Anthony-Ramos/dp/B0BX1MWKHY/ref=sr_1_23?dib=eyJ2IjoiMSJ9.SvQzi1JnFLhTzHGMgLVWgE0HV9sYjoYXyEOKDiZMrrZa3S6nLHuIQZ_zVoYJzDo3Xb54hkLSQzResRSSpD85jxxxMMTcdrRIt1ZooxhHOBwQC-wg2NtAZTqR53d35O8L_7wTuSuULPj9WCEQ8GEBUM6IKGORtfHt8WJcU-pHK9WjqzAclS-txEeTKH52mrWx-YBY18TU2ibykOVFqQB6rqFOHegAb_s41D7PRnjciH4.qlyZnUVfbDDud7rYnSTjDfyH6dWTp_zwXXwc1pgDERk&dib_tag=se&qid=1726507667&s=movies-tv&sr=1-23
American Yakuza,19.99,4.7 out of 5 stars,https://www.amazon.com/Despicable-Me-4-2-Mini-Movies/dp/B0D6JZYX31/ref=sr_1_24?dib=eyJ2IjoiMSJ9.SvQzi1JnFLhTzHGMgLVWgE0HV9sYjoYXyEOKDiZMrrZa3S6nLHuIQZ_zVoYJzDo3Xb54hkLSQzResRSSpD85jxxxMMTcdrRIt1ZooxhHOBwQC-wg2NtAZTqR53d35O8L_7wTuSuULPj9WCEQ8GEBUM6IKGORtfHt8WJcU-pHK9WjqzAclS-txEeTKH52mrWx-YBY18TU2ibykOVFqQB6rqFOHegAb_s41D7PRnjciH4.qlyZnUVfbDDud7rYnSTjDfyH6dWTp_zwXXwc1pgDERk&dib_tag=se&qid=1726507667&s=movies-tv&sr=1-24
An Honest Liar,3.79,4.8 out of 5 stars,https://www.amazon.com/Death-Becomes-Her-Meryl-Streep/dp/B002MFV2IK/ref=sr_1_25?dib=eyJ2IjoiMSJ9.SvQzi1JnFLhTzHGMgLVWgE0HV9sYjoYXyEOKDiZMrrZa3S6nLHuIQZ_zVoYJzDo3Xb54hkLSQzResRSSpD85jxxxMMTcdrRIt1ZooxhHOBwQC-wg2NtAZTqR53d35O8L_7wTuSuULPj9WCEQ8GEBUM6IKGORtfHt8WJcU-pHK9WjqzAclS-txEeTKH52mrWx-YBY18TU2ibykOVFqQB6rqFOHegAb_s41D7PRnjciH4.qlyZnUVfbDDud7rYnSTjDfyH6dWTp_zwXXwc1pgDERk&dib_tag=se&qid=1726507667&s=movies-tv&sr=1-25
Annie,4.29,4.6 out of 5 stars,https://www.amazon.com/Daddys-Home-Will-Ferrell/dp/B019YHGHX8/ref=sr_1_26?dib=eyJ2IjoiMSJ9.SvQzi1JnFLhTzHGMgLVWgE0HV9sYjoYXyEOKDiZMrrZa3S6nLHuIQZ_zVoYJzDo3Xb54hkLSQzResRSSpD85jxxxMMTcdrRIt1ZooxhHOBwQC-wg2NtAZTqR53d35O8L_7wTuSuULPj9WCEQ8GEBUM6IKGORtfHt8WJcU-pHK9WjqzAclS-txEeTKH52mrWx-YBY18TU2ibykOVFqQB6rqFOHegAb_s41D7PRnjciH4.qlyZnUVfbDDud7rYnSTjDfyH6dWTp_zwXXwc1pgDERk&dib_tag=se&qid=1726507667&s=movies-tv&sr=1-26
Ape vs. Mecha Ape,44.63,4.7 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3OTE0NDkwMTA1OTM1ODQ1OjE3MjY1MDc2Njc6c3BfbXRmX2Jyb3dzZTozMDAzOTk5NDU5NDkzMDI6OjA6Og&url=%2F10-Movie-Spotlight-Collection-Indemnity-Phantom%2Fdp%2FB00MUNSV3S%2Fref%3Dsr_1_27_sspa%3Fdib%3DeyJ2IjoiMSJ9.SvQzi1JnFLhTzHGMgLVWgE0HV9sYjoYXyEOKDiZMrrZa3S6nLHuIQZ_zVoYJzDo3Xb54hkLSQzResRSSpD85jxxxMMTcdrRIt1ZooxhHOBwQC-wg2NtAZTqR53d35O8L_7wTuSuULPj9WCEQ8GEBUM6IKGORtfHt8WJcU-pHK9WjqzAclS-txEeTKH52mrWx-YBY18TU2ibykOVFqQB6rqFOHegAb_s41D7PRnjciH4.qlyZnUVfbDDud7rYnSTjDfyH6dWTp_zwXXwc1pgDERk%26dib_tag%3Dse%26qid%3D1726507667%26s%3Dmovies-tv%26sr%3D1-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
Apocalypto,37.99,5.0 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3OTE0NDkwMTA1OTM1ODQ1OjE3MjY1MDc2Njc6c3BfbXRmX2Jyb3dzZTozMDAxNTA0NDQzODE1MDI6OjA6Og&url=%2FFantastic-Beasts-Collection-Blu-Ray-Region%2Fdp%2FB0CWSDDL8G%2Fref%3Dsr_1_28_sspa%3Fdib%3DeyJ2IjoiMSJ9.SvQzi1JnFLhTzHGMgLVWgE0HV9sYjoYXyEOKDiZMrrZa3S6nLHuIQZ_zVoYJzDo3Xb54hkLSQzResRSSpD85jxxxMMTcdrRIt1ZooxhHOBwQC-wg2NtAZTqR53d35O8L_7wTuSuULPj9WCEQ8GEBUM6IKGORtfHt8WJcU-pHK9WjqzAclS-txEeTKH52mrWx-YBY18TU2ibykOVFqQB6rqFOHegAb_s41D7PRnjciH4.qlyZnUVfbDDud7rYnSTjDfyH6dWTp_zwXXwc1pgDERk%26dib_tag%3Dse%26qid%3D1726507667%26s%3Dmovies-tv%26sr%3D1-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
Apollo 18,5.99,4.7 out of 5 stars,https://www.amazon.com/Bad-Boys-Ride-Bonus-X-Ray/dp/B0D5291T96/ref=sr_1_29?dib=eyJ2IjoiMSJ9.SvQzi1JnFLhTzHGMgLVWgE0HV9sYjoYXyEOKDiZMrrZa3S6nLHuIQZ_zVoYJzDo3Xb54hkLSQzResRSSpD85jxxxMMTcdrRIt1ZooxhHOBwQC-wg2NtAZTqR53d35O8L_7wTuSuULPj9WCEQ8GEBUM6IKGORtfHt8WJcU-pHK9WjqzAclS-txEeTKH52mrWx-YBY18TU2ibykOVFqQB6rqFOHegAb_s41D7PRnjciH4.qlyZnUVfbDDud7rYnSTjDfyH6dWTp_zwXXwc1pgDERk&dib_tag=se&qid=1726507667&s=movies-tv&sr=1-29
